;;;;;;
description-status-moduleselfencrusting;;Will receive $crust$ after activation;激活后获得$crust$;アクティブ化は $crust$を受け取ります;활성화 이후 $crust$가 부여됩니다;
description-status-moduleselfencrusting-eot;;Activation this turn will lead to $crust$;本回合激活会导致$crust$;このターンにアクティブ化は $crust$を引き起こします;이번 턴에 활성화 시 $crust$가 부여됩니다;
description-status-moduleturbo;;Adds $1$ $energy$ to the incoming current.$br$Lasts until the end of combat;为输入能量流增加$1$$energy$。$br$直至战斗结束。;$energy$を$1$追加、戦闘終了まで。;획득하는 전류에 $1$ $energy$를 추가합니다.$br$전투 종료 시까지 유지됩니다;
description-status-moduleunstable;;Will be destroyed after battle;战斗结束后销毁;戦闘後に破壊されます;전투 이후에 파괴됩니다;
description-status-moduleupgrade;;Adds $1$ $energy$ to the incoming current;为输入能量流增加$1$$energy$;$energy$を$1$追加;획득하는 전류에 $1$ $energy$를 추가합니다;
description-status-shield;;Incoming $damage$ is reduced by $1$;即将承受的$damage$减少$1$;$damage$は $1$減少します;다음 $damage$가 $1$ 감소합니다;
description-status-transformation-dmgtograv;;Incoming $damage$ is transformed to $grav+$ instead;即将承受的$damage$将转换为$grav+$;$damage$は $grav+$に変換されます;다음 $damage$가 그 대신 $grav+$로 변형됩니다;
description-status-transformation-gravtodmg;;Incoming $grav+$ is transformed to $damage$ instead;被施加的$grav+$将转换为$damage$;$grav+$は $damage$に変換されます;다음 $grav+$가 그 대신 $damage$로 변형됩니다;
description-status-transformation-gravtomight;;Incoming $grav+$ is transformed to $might$ instead;被施加的$grav+$将转换为$might$;$grav+$は $might$に変換されます;다음 $grav+$가 그 대신 $might$으로 변형됩니다;
description-status-vulnerable;;Incoming $damage$ is amplified by $1$;即将承受的$damage$增加$1$;受ける$damage$が$1$増加;다음 $damage$가 $1$ 증폭됩니다;
difficulty;;DIFFICULTY;难度;難易度;난이도;
difficultyscreen-title;;Select a difficulty;选择难度;難易度を選択;난이도 선택;
discharge-endofbattle;;Loses all $energy$ at the end of battle;战斗结束后失去所有$energy$;バトル終了まで<color=#FFFFFF>$b$$MAXCHARGE$$/b$</color> $energy$$br$を保持します;전투 종료 시 모든 $energy$를 잃습니다;
discharge-storesenergy;;Stores $energy$ throughout$br$turns and battles;储存$energy$$br$回合及战斗结束后不会消失;ターンや戦闘をまたいで$energy$を蓄えます;턴 진행 및 전투 동안$br$$energy$를 저장합니다;
discharge-storesenergy-capped;;Stores up to <color=#FFFFFF>$b$$MAXCHARGE$$/b$</color> $energy$$br$throughout turns and battles;最多可储存<color=#FFFFFF>$b$$MAXCHARGE$$/b$</color>$energy$$br$回合及战斗结束后不会消失;ターンや戦闘をまたいで<color=#FFFFFF>$b$$MAXCHARGE$$/b$</color> $energy$を蓄えます;턴 진행 및 전투 동안$br$최대 <color=#FFFFFF>$b$$MAXCHARGE$$/b$</color> $energy$를 저장합니다;
endofrun;;End of Run;游戏结束;ゲーム終了;모험 종료;
error-cannotwirecircular;;Cannot wire circular;无法环形接线;循環的に接続できません;순환되게 연결할 수 없습니다;
error-happening-station-alreadyused;;Station has already been used.;站点已被使用。;ステーションはすでに使用されています。;건물을 이미 이용했습니다.;
error-inputtooutput;;Must wire input$br$to output jack;输出端口只能$br$与输入端口相连;入力を出力に接続;입력 잭은 출력 잭에 연결해야 합니다.;
error-jackcolormismatch;;Wrong color;颜色错误;色が違います;잘못된 색상;
error-jacklocked;;Blocked;受阻;塞がり;막힘;
error-jacknotwired;;Not$br$wired;未$br$接线;接続されていません;연결되지$br$않음;
error-levelnotviable;;This level is not viable.;此关卡不可用。;このレベルは利用できません。;이 레벨은 변경할 수 없습니다.;
error-module-cannotbesalvaged;;Cannot be salvaged;无法继承;回収不可;회수할 수 없습니다;
error-modulecannotbetakenfromrack;;Cannot be taken from rack;无法取下;ラックからは取り出せません;랙에서 제거할 수 없습니다;
error-module-cannotbetrashed;;Cannot be dumped;无法丢弃;捨てられません;버릴 수 없습니다;
error-module-cannotbeupgradedfurther;;Modules can only receive one $upgrade$;每个模块仅可拥有一个$upgrade$;モジュールは$upgrade$を1つしか受け取れません;모듈은 한번만 $upgrade$될 수 있습니다.;
error-module-encrusted;;Break $crust$$br$with $energy$;用$energy$$br$打破$crust$;$energy$で$crust$を破壊;$energy$로$br$$crust$를 파괴하세요;
error-modulelock-eob;;Can only be moved outside of combat;仅非战斗时间可移动;戦闘外でのみ移動可能;전투 중이 아닐 때만 이동시킬 수 있습니다.;
error-modulelock-nextturn;;Locked to rack$br$until next turn;下回合前$br$无法移动;次のターンまでラックに固定;다음 턴까지$br$랙에 고정됨;
error-modulelock-startingmodule;;Character loadout cannot be taken from rack;角色自带无法取下;キャラクターの装備はラックから取り出せません;캐릭터 소지품은 랙에서 제거할 수 없습니다.;
error-module-notduplicable;;Cannot be duplicated;无法复制;複製不可;복제할 수 없습니다;
error-module-notnegotiable;;Not negotiable;不可转让;交渉不可;협상 불가;
error-module-notownedbyplayer;;Does not belong to you;不属于你;あなたのものではありません;소유하고 있지 않습니다;
error-module-nottransmogrifiable;;Cannot be transmogrified;无法改变;変身不可;변질시킬 수 없습니다;
error-nomorelootpicks;;No more picks left;没有更多选择;選択肢がありません;더 이상 추출할 수 없습니다;
error-nospaceinrack;;No free space in rack;模架已满;ラックに空きスペースがありません;랙에 남은 공간이 없습니다;
error-racknotwired;;Rack of $NAME$ is not wired;$NAME$的模组未连接;$NAME$のラックは接続されていません;$NAME$의 랙이 연결되어 있지 않습니다;
error-rackwiringimpossible;;Cannot wire from here;无法在这里连接;ここから接続できません;여기서는 연결할 수 없습니다;
error-socketdoesnotallowdrag;;Cannot be taken from this socket;无法从插槽取下;このソケットからは取り出せません;이 소켓에서 제거할 수 없습니다;
error-socket-dropforbidden;;Socket does not accept modules;插槽与模块不兼容;ソケットはモジュールを受け入れません;모듈에 맞지 않는 소켓입니다.;
error-socket-wrongmoduletype;;Socket does not accept modules of this type.;插槽与此类型模块不兼容;ソケットはこのタイプのモジュールを受け入れません。;이 유형의 모듈에 맞지 않는 소켓입니다.;
error-wiringliverack;;Cannot wire during firing sequence;能量传输过程中无法接线;発射シーケンス中に接続できません;발사 시퀀스 도중에는 연결할 수 없습니다;
error-wiringsamemodule;;Cannot wire$br$same module;无法连接$br$相同模块;同じモジュールを接続できません;동일한 모듈은$br$연결할 수 없습니다;
error-wrongturn;;It's not the turn of $NAME$.;未到$NAME$回合。;$NAME$のターンではありません。;$NAME$의 턴이 아닙니다.;
exchangeable;;Will not become locked after activation and can be freely exchanged between characters;激活后不会被锁定，可在角色间自由交换;アクティベート後にロックされず、キャラクター間で自由に交換できます;활성화 이후에 고정 상태가 되지 않으며, 캐릭터 간에 자유롭게 교환할 수 있습니다;
exchangeable-charge;;Will not become locked after charging and can be freely exchanged between characters;充能后不会被锁定，可在角色间自由交换;チャージ後にロックされず、キャラクター間で自由に交換できます;충전 이후에 고정 상태가 되지 않으며, 캐릭터 간에 자유롭게 교환할 수 있습니다;
exhaustion;;Exhaustion $EXHAUSTION$;疲劳$EXHAUSTION$;疲労 $EXHAUSTION$;고갈 $EXHAUSTION$;
exhaustion-description-dependingonwiring;;Depending on wired modules;取决于已连线模块;;연결된 모듈에 따라 변동;
exhaustion-description-turndelay;;Activation sets back next turn by $EXHAUSTION$;激活后角色下一回合延后$EXHAUSTION$步;;활성화 시 다음 턴이 $EXHAUSTION$만큼 늦춰집니다;
factory-proportion;;Higher $energy$ leads to a better constructed module;输入$energy$越大，制造的模块越好;$energy$が高いほど、モジュールの性能が向上します;$energy$가 높을수록 더 좋은 모듈을 조립할 수 있습니다;
happening-chargingstation-description;;Charges a $storagemodule$$br$with up to $2$ $energy$.;为一个$storagemodule$$br$输入至多$2$$energy$。;$storagemodule$を$2$ $energy$で充電します。;$storagemodule$에 최대 $2$ $energy$를 충전합니다.;
happening-chargingstation-description2;;It has already been used,$br$but somebody must have forgotten to take the storage cell with them.;此站点已被使用，$br$但使用者似乎忘了取走这个储存单元。;すでに使用されていますが、$br$誰かが存储セルを持っていないことを忘れているようです。;이미 사용한 흔적이 있지만,$br$누군가 축전지를 가져가는 걸 잊어버린 것으로 보입니다.;
happening-chargingstation-error-nomodule;;Place storage module on the socket;将储存模块放进插槽;モジュールをソケットに配置します;저장 모듈을 소켓에 배치하세요;
happening-chargingstation-heading;;Charging Station;充电站;充電ステーション;충전소;
happening-chargingstation-introduction;;You discover a;你发现了一个;あなたは発見しました;당신이 발견한 것은...;
happening-endofdemo-calltoaction;;Do you have feedback, questions or ideas?$br$Do you want to support the development?;您有任何反馈、问题或建议吗？$br$您想支持本游戏的开发吗？;フィードバック、質問、アイデアはありますか？$br$開発をサポートしたいですか？;피드백이나 질문, 아이디어가 있으신가요?$br$개발을 지원하고 싶으신가요?;
happening-endofdemo-currentcycle;;;;;;
happening-endofdemo-currentdifficulty;;Current Difficulty: $DIFFICULTY$;当前难度：$DIFFICULTY$;現在の難易度：$DIFFICULTY$;현재 난이도: $DIFFICULTY$;
happening-endofdemo-currentplasma;;Plasma: $PLASMA$;等离子体：$PLASMA$;プラズマ：$PLASMA$;플라즈마: $PLASMA$;
happening-endofdemo-developer;;$b$Luca$/b$$br$Developer;$b$Luca$/b$$br$开发者;$b$ルカ$/b$$br$開発者;개발자$br$$b$Luca$/b$;
happening-endofdemo-heading;;End of the Demo;试玩结束;デモの終わり;데모의 끝;
happening-endofdemo-introduction;;You have reached the;您已通关;あなたは;당신이 도달한 곳은...;
happening-endofdemo-jointhecommunity;;Show off your build in the community;在社区中展示您的模组;コミュニティでビルドを見せてください;여러분의 빌드를 커뮤니티에 자랑해보세요;
happening-endofdemo-runduration;;Run Duration: $DURATION$;游戏时长：$DURATION$;ランの期間：$DURATION$;모험 진행 시간: $DURATION$;
happening-endofdemo-scope-demo;;This Demo;试玩版;このデモ;해당 데모;
happening-endofdemo-scope-demo-biomes;;2 biomes;2种地貌;2バイオーム;2개의 바이옴;
happening-endofdemo-scope-demo-characters;;2 characters;2个角色;2人のキャラクター;2명의 캐릭터;
happening-endofdemo-scope-demo-date;;Spring '24;24年 春;24年春;24년 봄;
happening-endofdemo-scope-demo-modules;;35 modules;35种模块;35モジュール;35개의 모듈;
happening-endofdemo-scope-demo-stages;;2 stages;2大关卡;2レベル;2종의 스테이지;
happening-endofdemo-scope-ea;;Early Access;抢先体验版;早期アクセス;얼리 액세스;
